zam_prod_id;zamow_id;produkt_id;produkt_kod;kolor;product_rozmiar;cena;ilosc;nastanie;status_odbioru
89;74;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
92;77;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
93;78;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
95;79;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
96;80;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
100;84;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
102;86;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
264;217;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
268;220;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
274;225;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
276;226;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;3;0;0
278;227;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
280;228;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
282;230;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
284;232;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
285;233;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
287;234;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
290;236;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
291;237;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
292;238;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
296;242;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
298;244;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
300;246;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
305;251;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
306;252;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
309;254;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
310;255;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
316;259;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
323;263;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
324;264;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
325;265;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
328;267;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
329;268;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
337;276;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
338;277;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
341;279;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
346;281;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
348;283;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
350;284;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
352;286;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
358;289;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
359;290;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
361;291;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
362;292;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
363;293;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
366;294;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
367;295;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
368;296;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
371;298;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
374;301;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
376;303;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
377;304;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
378;305;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
