Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
65+,unknown,2020-11-19,1,1,0.01,0,,,,2020-11-19,2020-11-19
65+,female,2020-11-19,2,2,0,1,,,,2020-11-19,2020-11-19
45-54,male,2020-11-18,1576,1781,14.898800128845,89,,2,3,2020-11-18,2020-11-18
18-24,female,2020-11-18,148,154,1.2099025607988,18,,,1,2020-11-18,2020-11-18
25-34,female,2020-11-18,1628,1723,14.678817845064,138,,,2,2020-11-18,2020-11-18
35-44,female,2020-11-18,2656,2806,23.058143018199,165,,2,5,2020-11-18,2020-11-18
45-54,female,2020-11-18,1088,1090,10.379164116605,65,1,,,2020-11-18,2020-11-18
35-44,male,2020-11-18,3991,4488,33.547298276695,229,,3,6,2020-11-18,2020-11-18
25-34,male,2020-11-18,2452,2954,23.248127717829,181,,4,2,2020-11-18,2020-11-18
18-24,male,2020-11-18,344,380,2.9097656627476,26,,,1,2020-11-18,2020-11-18
25-34,unknown,2020-11-18,8,8,0.039996778869383,0,,,,2020-11-18,2020-11-18
45-54,unknown,2020-11-18,4,6,0.069994363021421,0,,,,2020-11-18,2020-11-18
35-44,unknown,2020-11-18,10,10,0.059995168304075,0,,,,2020-11-18,2020-11-18
65+,unknown,2020-11-18,1,1,0,0,,,,2020-11-18,2020-11-18
55-64,female,2020-11-18,0,2,0.059995168304075,0,,,,2020-11-18,2020-11-18
65+,male,2020-11-18,2,2,0.0099991947173458,0,,,,2020-11-18,2020-11-18
18-24,female,2020-11-17,132,161,1.2,11,,,1,2020-11-17,2020-11-17
45-54,female,2020-11-17,904,947,7.62,51,,1,1,2020-11-17,2020-11-17
45-54,male,2020-11-17,1784,1841,13.91,80,,1,4,2020-11-17,2020-11-17
35-44,male,2020-11-17,4496,5004,36.04,231,,4,8,2020-11-17,2020-11-17
25-34,male,2020-11-17,3400,3808,28.66,243,3,3,7,2020-11-17,2020-11-17
25-34,female,2020-11-17,1728,1810,14.46,112,,1,3,2020-11-17,2020-11-17
35-44,female,2020-11-17,2148,2357,18.7,145,,,4,2020-11-17,2020-11-17
18-24,male,2020-11-17,388,482,3.7,46,,,2,2020-11-17,2020-11-17
25-34,unknown,2020-11-17,0,3,0.02,0,,,,2020-11-17,2020-11-17
45-54,unknown,2020-11-17,0,3,0.01,0,,,,2020-11-17,2020-11-17
35-44,unknown,2020-11-17,4,12,0.11,2,,,,2020-11-17,2020-11-17
55-64,male,2020-11-17,0,1,0,0,,,,2020-11-17,2020-11-17
65+,female,2020-11-17,3,3,0.06,1,,,,2020-11-17,2020-11-17
65+,male,2020-11-17,5,5,0.04,0,,,,2020-11-17,2020-11-17
55-64,female,2020-11-17,0,1,0,0,,,,2020-11-17,2020-11-17
65+,unknown,2020-11-17,1,1,0,0,,,,2020-11-17,2020-11-17
18-24,male,2020-11-16,504,504,3.79,38,1,,,2020-11-16,2020-11-16
25-34,female,2020-11-16,1736,1981,14.19,154,,,3,2020-11-16,2020-11-16
45-54,female,2020-11-16,899,899,7.07,47,,1,3,2020-11-16,2020-11-16
18-24,female,2020-11-16,150,150,1.09,11,,,,2020-11-16,2020-11-16
